season,circuit,driver,grid_position,finishing_position
2018,Melbourne,Sebastian Vettel,3,1
2018,Melbourne,Lewis Hamilton,1,2
2018,Melbourne,Kimi Räikkönen,2,3
2018,Melbourne,Daniel Ricciardo,8,4
2018,Melbourne,Fernando Alonso,10,5
2018,Melbourne,Max Verstappen,4,6
2018,Melbourne,Nico Hulkenberg,7,7
2018,Melbourne,Valtteri Bottas,15,8
2018,Melbourne,Stoffel Vandoorne,11,9
2018,Melbourne,Carlos Sainz,9,10
2018,Melbourne,Sergio Perez,12,11
2018,Melbourne,Esteban Ocon,14,12
2018,Melbourne,Charles Leclerc,18,13
2018,Melbourne,Lance Stroll,13,14
2018,Melbourne,Brendon Hartley,16,15
2018,Melbourne,Romain Grosjean,6,16
2018,Melbourne,Kevin Magnussen,5,17
2018,Melbourne,Pierre Gasly,20,18
2018,Melbourne,Marcus Ericsson,17,19
2018,Melbourne,Sergey Sirotkin,19,20
2018,Sakhir,Sebastian Vettel,1,1
2018,Sakhir,Valtteri Bottas,3,2
2018,Sakhir,Lewis Hamilton,9,3
2018,Sakhir,Pierre Gasly,5,4
2018,Sakhir,Kevin Magnussen,6,5
2018,Sakhir,Nico Hulkenberg,7,6
2018,Sakhir,Fernando Alonso,13,7
2018,Sakhir,Stoffel Vandoorne,14,8
2018,Sakhir,Marcus Ericsson,17,9
2018,Sakhir,Esteban Ocon,8,10
2018,Sakhir,Carlos Sainz,10,11
2018,Sakhir,Charles Leclerc,19,12
2018,Sakhir,Romain Grosjean,16,13
2018,Sakhir,Lance Stroll,20,14
2018,Sakhir,Sergey Sirotkin,18,15
2018,Sakhir,Sergio Perez,12,16
2018,Sakhir,Brendon Hartley,11,17
2018,Sakhir,Kimi Räikkönen,2,18
2018,Sakhir,Max Verstappen,15,19
2018,Sakhir,Daniel Ricciardo,4,20
2018,Shanghai,Daniel Ricciardo,6,1
2018,Shanghai,Valtteri Bottas,3,2
2018,Shanghai,Kimi Räikkönen,2,3
2018,Shanghai,Lewis Hamilton,4,4
2018,Shanghai,Max Verstappen,5,5
2018,Shanghai,Nico Hulkenberg,7,6
2018,Shanghai,Fernando Alonso,13,7
2018,Shanghai,Sebastian Vettel,1,8
2018,Shanghai,Carlos Sainz,9,9
2018,Shanghai,Kevin Magnussen,11,10
2018,Shanghai,Esteban Ocon,12,11
2018,Shanghai,Sergio Perez,8,12
2018,Shanghai,Stoffel Vandoorne,14,13
2018,Shanghai,Lance Stroll,18,14
2018,Shanghai,Sergey Sirotkin,16,15
2018,Shanghai,Marcus Ericsson,20,16
2018,Shanghai,Romain Grosjean,10,17
2018,Shanghai,Pierre Gasly,17,18
2018,Shanghai,Charles Leclerc,19,19
2018,Shanghai,Brendon Hartley,15,20
2018,Baku,Lewis Hamilton,2,1
2018,Baku,Kimi Räikkönen,6,2
2018,Baku,Sergio Perez,8,3
2018,Baku,Sebastian Vettel,1,4
2018,Baku,Carlos Sainz,9,5
2018,Baku,Charles Leclerc,13,6
2018,Baku,Fernando Alonso,12,7
2018,Baku,Lance Stroll,10,8
2018,Baku,Stoffel Vandoorne,16,9
2018,Baku,Brendon Hartley,19,10
2018,Baku,Marcus Ericsson,18,11
2018,Baku,Pierre Gasly,17,12
2018,Baku,Kevin Magnussen,15,13
2018,Baku,Valtteri Bottas,3,14
2018,Baku,Romain Grosjean,20,15
2018,Baku,Max Verstappen,5,16
2018,Baku,Daniel Ricciardo,4,17
2018,Baku,Nico Hulkenberg,14,18
2018,Baku,Esteban Ocon,7,19
2018,Baku,Sergey Sirotkin,11,20
2018,Barcelona,Lewis Hamilton,1,1
2018,Barcelona,Valtteri Bottas,2,2
2018,Barcelona,Max Verstappen,5,3
2018,Barcelona,Sebastian Vettel,3,4
2018,Barcelona,Daniel Ricciardo,6,5
2018,Barcelona,Kevin Magnussen,7,6
2018,Barcelona,Carlos Sainz,9,7
2018,Barcelona,Fernando Alonso,8,8
2018,Barcelona,Sergio Perez,15,9
2018,Barcelona,Charles Leclerc,14,10
2018,Barcelona,Lance Stroll,18,11
2018,Barcelona,Brendon Hartley,20,12
2018,Barcelona,Marcus Ericsson,17,13
2018,Barcelona,Sergey Sirotkin,19,14
2018,Barcelona,Stoffel Vandoorne,11,15
2018,Barcelona,Esteban Ocon,13,16
2018,Barcelona,Kimi Räikkönen,4,17
2018,Barcelona,Romain Grosjean,10,18
2018,Barcelona,Pierre Gasly,12,19
2018,Barcelona,Nico Hulkenberg,16,20
2018,Monte Carlo,Daniel Ricciardo,1,1
2018,Monte Carlo,Sebastian Vettel,2,2
2018,Monte Carlo,Lewis Hamilton,3,3
2018,Monte Carlo,Kimi Räikkönen,4,4
2018,Monte Carlo,Valtteri Bottas,5,5
2018,Monte Carlo,Esteban Ocon,6,6
2018,Monte Carlo,Pierre Gasly,10,7
2018,Monte Carlo,Nico Hulkenberg,11,8
2018,Monte Carlo,Max Verstappen,20,9
2018,Monte Carlo,Carlos Sainz,8,10
2018,Monte Carlo,Marcus Ericsson,16,11
2018,Monte Carlo,Sergio Perez,9,12
2018,Monte Carlo,Kevin Magnussen,19,13
2018,Monte Carlo,Stoffel Vandoorne,12,14
2018,Monte Carlo,Romain Grosjean,18,15
2018,Monte Carlo,Sergey Sirotkin,13,16
2018,Monte Carlo,Lance Stroll,17,17
2018,Monte Carlo,Charles Leclerc,14,18
2018,Monte Carlo,Brendon Hartley,15,19
2018,Monte Carlo,Fernando Alonso,7,20
2018,Montréal,Sebastian Vettel,1,1
2018,Montréal,Valtteri Bottas,2,2
2018,Montréal,Max Verstappen,3,3
2018,Montréal,Daniel Ricciardo,6,4
2018,Montréal,Lewis Hamilton,4,5
2018,Montréal,Kimi Räikkönen,5,6
2018,Montréal,Nico Hulkenberg,7,7
2018,Montréal,Carlos Sainz,9,8
2018,Montréal,Esteban Ocon,8,9
2018,Montréal,Charles Leclerc,13,10
2018,Montréal,Pierre Gasly,16,11
2018,Montréal,Romain Grosjean,20,12
2018,Montréal,Kevin Magnussen,11,13
2018,Montréal,Sergio Perez,10,14
2018,Montréal,Marcus Ericsson,19,15
2018,Montréal,Stoffel Vandoorne,15,16
2018,Montréal,Sergey Sirotkin,18,17
2018,Montréal,Fernando Alonso,14,18
2018,Montréal,Brendon Hartley,12,19
2018,Montréal,Lance Stroll,17,20
2018,Le Castellet,Lewis Hamilton,1,1
2018,Le Castellet,Max Verstappen,4,2
2018,Le Castellet,Kimi Räikkönen,6,3
2018,Le Castellet,Daniel Ricciardo,5,4
2018,Le Castellet,Sebastian Vettel,3,5
2018,Le Castellet,Kevin Magnussen,9,6
2018,Le Castellet,Valtteri Bottas,2,7
2018,Le Castellet,Carlos Sainz,7,8
2018,Le Castellet,Nico Hulkenberg,12,9
2018,Le Castellet,Charles Leclerc,8,10
2018,Le Castellet,Romain Grosjean,10,11
2018,Le Castellet,Stoffel Vandoorne,17,12
2018,Le Castellet,Marcus Ericsson,15,13
2018,Le Castellet,Brendon Hartley,20,14
2018,Le Castellet,Sergey Sirotkin,18,15
2018,Le Castellet,Fernando Alonso,16,16
2018,Le Castellet,Lance Stroll,19,17
2018,Le Castellet,Sergio Perez,13,18
2018,Le Castellet,Esteban Ocon,11,19
2018,Le Castellet,Pierre Gasly,14,20
2018,Spielberg,Max Verstappen,4,1
2018,Spielberg,Kimi Räikkönen,3,2
2018,Spielberg,Sebastian Vettel,6,3
2018,Spielberg,Romain Grosjean,5,4
2018,Spielberg,Kevin Magnussen,8,5
2018,Spielberg,Esteban Ocon,11,6
2018,Spielberg,Sergio Perez,16,7
2018,Spielberg,Fernando Alonso,13,8
2018,Spielberg,Charles Leclerc,18,9
2018,Spielberg,Marcus Ericsson,20,10
2018,Spielberg,Pierre Gasly,12,11
2018,Spielberg,Carlos Sainz,9,12
2018,Spielberg,Sergey Sirotkin,17,13
2018,Spielberg,Lance Stroll,14,14
2018,Spielberg,Stoffel Vandoorne,15,15
2018,Spielberg,Lewis Hamilton,2,16
2018,Spielberg,Brendon Hartley,19,17
2018,Spielberg,Daniel Ricciardo,7,18
2018,Spielberg,Valtteri Bottas,1,19
2018,Spielberg,Nico Hulkenberg,10,20
2018,Silverstone,Sebastian Vettel,2,1
2018,Silverstone,Lewis Hamilton,1,2
2018,Silverstone,Kimi Räikkönen,3,3
2018,Silverstone,Valtteri Bottas,4,4
2018,Silverstone,Daniel Ricciardo,6,5
2018,Silverstone,Nico Hulkenberg,11,6
2018,Silverstone,Esteban Ocon,10,7
2018,Silverstone,Fernando Alonso,13,8
2018,Silverstone,Kevin Magnussen,7,9
2018,Silverstone,Sergio Perez,12,10
2018,Silverstone,Stoffel Vandoorne,17,11
2018,Silverstone,Lance Stroll,19,12
2018,Silverstone,Pierre Gasly,14,13
2018,Silverstone,Sergey Sirotkin,18,14
2018,Silverstone,Max Verstappen,5,15
2018,Silverstone,Romain Grosjean,8,16
2018,Silverstone,Carlos Sainz,16,17
2018,Silverstone,Marcus Ericsson,15,18
2018,Silverstone,Charles Leclerc,9,19
2018,Silverstone,Brendon Hartley,0,20
2018,Hockenheim,Lewis Hamilton,14,1
2018,Hockenheim,Valtteri Bottas,2,2
2018,Hockenheim,Kimi Räikkönen,3,3
2018,Hockenheim,Max Verstappen,4,4
2018,Hockenheim,Nico Hulkenberg,7,5
2018,Hockenheim,Romain Grosjean,6,6
2018,Hockenheim,Sergio Perez,10,7
2018,Hockenheim,Esteban Ocon,15,8
2018,Hockenheim,Marcus Ericsson,13,9
2018,Hockenheim,Brendon Hartley,17,10
2018,Hockenheim,Kevin Magnussen,5,11
2018,Hockenheim,Carlos Sainz,8,12
2018,Hockenheim,Stoffel Vandoorne,19,13
2018,Hockenheim,Pierre Gasly,16,14
2018,Hockenheim,Charles Leclerc,9,15
2018,Hockenheim,Fernando Alonso,11,16
2018,Hockenheim,Lance Stroll,18,17
2018,Hockenheim,Sebastian Vettel,1,18
2018,Hockenheim,Sergey Sirotkin,12,19
2018,Hockenheim,Daniel Ricciardo,20,20
2018,Budapest,Lewis Hamilton,1,1
2018,Budapest,Sebastian Vettel,4,2
2018,Budapest,Kimi Räikkönen,3,3
2018,Budapest,Daniel Ricciardo,12,4
2018,Budapest,Valtteri Bottas,2,5
2018,Budapest,Pierre Gasly,6,6
2018,Budapest,Kevin Magnussen,9,7
2018,Budapest,Fernando Alonso,11,8
2018,Budapest,Carlos Sainz,5,9
2018,Budapest,Romain Grosjean,10,10
2018,Budapest,Brendon Hartley,8,11
2018,Budapest,Nico Hulkenberg,13,12
2018,Budapest,Esteban Ocon,18,13
2018,Budapest,Sergio Perez,19,14
2018,Budapest,Marcus Ericsson,14,15
2018,Budapest,Sergey Sirotkin,20,16
2018,Budapest,Lance Stroll,15,17
2018,Budapest,Stoffel Vandoorne,16,18
2018,Budapest,Max Verstappen,7,19
2018,Budapest,Charles Leclerc,17,20
2018,Spa-Francorchamps,Sebastian Vettel,2,1
2018,Spa-Francorchamps,Lewis Hamilton,1,2
2018,Spa-Francorchamps,Max Verstappen,7,3
2018,Spa-Francorchamps,Valtteri Bottas,19,4
2018,Spa-Francorchamps,Sergio Perez,4,5
2018,Spa-Francorchamps,Esteban Ocon,3,6
2018,Spa-Francorchamps,Romain Grosjean,5,7
2018,Spa-Francorchamps,Kevin Magnussen,9,8
2018,Spa-Francorchamps,Pierre Gasly,10,9
2018,Spa-Francorchamps,Marcus Ericsson,13,10
2018,Spa-Francorchamps,Carlos Sainz,14,11
2018,Spa-Francorchamps,Sergey Sirotkin,16,12
2018,Spa-Francorchamps,Lance Stroll,17,13
2018,Spa-Francorchamps,Brendon Hartley,11,14
2018,Spa-Francorchamps,Stoffel Vandoorne,18,15
2018,Spa-Francorchamps,Daniel Ricciardo,8,16
2018,Spa-Francorchamps,Kimi Räikkönen,6,17
2018,Spa-Francorchamps,Charles Leclerc,12,18
2018,Spa-Francorchamps,Fernando Alonso,15,19
2018,Spa-Francorchamps,Nico Hulkenberg,20,20
2018,Monza,Lewis Hamilton,3,1
2018,Monza,Kimi Räikkönen,1,2
2018,Monza,Valtteri Bottas,4,3
2018,Monza,Sebastian Vettel,2,4
2018,Monza,Max Verstappen,5,5
2018,Monza,Esteban Ocon,8,6
2018,Monza,Sergio Perez,14,7
2018,Monza,Carlos Sainz,7,8
2018,Monza,Lance Stroll,10,9
2018,Monza,Sergey Sirotkin,12,10
2018,Monza,Charles Leclerc,15,11
2018,Monza,Stoffel Vandoorne,17,12
2018,Monza,Nico Hulkenberg,20,13
2018,Monza,Pierre Gasly,9,14
2018,Monza,Marcus Ericsson,18,15
2018,Monza,Kevin Magnussen,11,16
2018,Monza,Daniel Ricciardo,19,17
2018,Monza,Fernando Alonso,13,18
2018,Monza,Brendon Hartley,16,19
2018,Monza,Romain Grosjean,6,20
2018,Singapore,Lewis Hamilton,1,1
2018,Singapore,Max Verstappen,2,2
2018,Singapore,Sebastian Vettel,3,3
2018,Singapore,Valtteri Bottas,4,4
2018,Singapore,Kimi Räikkönen,5,5
2018,Singapore,Daniel Ricciardo,6,6
2018,Singapore,Fernando Alonso,11,7
2018,Singapore,Carlos Sainz,12,8
2018,Singapore,Charles Leclerc,13,9
2018,Singapore,Nico Hulkenberg,10,10
2018,Singapore,Marcus Ericsson,14,11
2018,Singapore,Stoffel Vandoorne,18,12
2018,Singapore,Pierre Gasly,15,13
2018,Singapore,Lance Stroll,20,14
2018,Singapore,Romain Grosjean,8,15
2018,Singapore,Sergio Perez,7,16
2018,Singapore,Brendon Hartley,17,17
2018,Singapore,Kevin Magnussen,16,18
2018,Singapore,Sergey Sirotkin,19,19
2018,Singapore,Esteban Ocon,9,20
2018,Sochi,Lewis Hamilton,2,1
2018,Sochi,Valtteri Bottas,1,2
2018,Sochi,Sebastian Vettel,3,3
2018,Sochi,Kimi Räikkönen,4,4
2018,Sochi,Max Verstappen,19,5
2018,Sochi,Daniel Ricciardo,18,6
2018,Sochi,Charles Leclerc,7,7
2018,Sochi,Kevin Magnussen,5,8
2018,Sochi,Esteban Ocon,6,9
2018,Sochi,Sergio Perez,8,10
2018,Sochi,Romain Grosjean,9,11
2018,Sochi,Nico Hulkenberg,12,12
2018,Sochi,Marcus Ericsson,10,13
2018,Sochi,Fernando Alonso,16,14
2018,Sochi,Lance Stroll,14,15
2018,Sochi,Stoffel Vandoorne,15,16
2018,Sochi,Carlos Sainz,11,17
2018,Sochi,Sergey Sirotkin,13,18
2018,Sochi,Pierre Gasly,17,19
2018,Sochi,Brendon Hartley,20,20
2018,Suzuka,Lewis Hamilton,1,1
2018,Suzuka,Valtteri Bottas,2,2
